driverId,averageFinish
1,3
2,6
3,5
4,5
5,10
6,10
7,9
8,5
9,8
10,11
11,8
12,6
13,6
14,4
15,6
16,9
17,5
18,6
19,8
20,4
21,6
22,5
23,4
24,9
25,6
26,7
27,9
28,0
29,12
30,3
31,3
32,8
33,10
34,3
35,5
36,7
37,6
38,12
39,12
40,7
41,5
42,5
43,7
44,5
45,6
46,8
47,8
48,7
49,4
50,5
51,6
52,7
53,13
54,6
55,4
56,3
57,3
58,5
59,4
60,8
61,9
62,5
63,5
64,4
65,4
66,5
67,9
68,4
69,5
70,4
71,3
72,0
73,4
74,3
75,6
76,4
77,3
78,4
79,4
80,0
81,5
82,8
83,6
84,4
85,1
86,2
87,4
88,3
89,3
90,2
91,4
92,2
93,6
94,4
95,2
96,6
97,3
98,5
99,2
100,5
101,3
102,2
103,4
104,5
105,4
106,4
107,4
108,2
109,3
110,3
111,6
112,4
113,8
114,3
115,0
116,6
117,2
118,3
119,3
120,1
121,3
122,2
123,4
124,0
125,6
126,13
127,4
128,1
129,3
130,0
131,4
132,0
133,3
134,0
135,0
136,4
137,2
138,4
139,4
140,3
141,3
142,0
143,0
144,0
145,3
146,1
147,3
148,1
149,0
150,0
151,4
152,3
153,9
154,8
155,8
156,5
157,3
158,3
159,4
160,2
161,0
162,0
163,3
164,0
165,1
166,5
167,1
168,6
169,8
170,2
171,0
172,3
173,3
174,3
175,3
176,5
177,3
178,4
179,2
180,5
181,2
182,2
183,2
184,4
185,3
186,1
187,4
188,3
189,4
190,2
191,0
192,3
193,5
194,2
195,2
196,4
197,4
198,0
199,3
200,4
201,4
202,4
203,3
204,0
205,3
206,3
207,3
208,2
209,3
210,0
211,3
212,2
213,0
214,0
215,0
216,2
217,5
218,0
219,2
220,0
221,3
222,4
223,4
224,4
225,0
226,0
227,0
228,0
229,4
230,4
231,2
232,2
233,2
234,0
235,3
236,3
237,3
238,4
239,6
240,1
241,0
242,0
243,6
244,0
245,0
246,4
247,0
248,0
249,6
250,4
251,2
252,4
253,3
254,4
255,3
256,4
257,0
258,8
259,5
260,0
261,0
262,2
263,0
264,0
265,7
266,0
267,4
268,0
269,4
270,3
271,2
272,9
273,6
274,4
275,5
276,5
277,7
278,3
279,0
280,5
281,0
282,7
283,0
284,11
285,0
286,14
287,11
288,4
289,3
290,5
291,11
292,9
293,3
294,6
295,0
296,4
297,5
298,8
299,0
300,8
301,18
302,6
303,0
304,3
305,4
306,4
307,5
308,8
309,4
310,0
311,2
312,4
313,4
314,4
315,0
316,0
317,2
318,0
319,0
320,3
321,1
322,8
323,9
324,3
325,0
326,0
327,3
328,2
329,5
330,5
331,12
332,6
333,3
334,0
335,0
336,0
337,9
338,6
339,0
340,5
341,2
342,3
343,0
344,6
345,3
346,4
347,3
348,13
349,0
350,4
351,2
352,4
353,2
354,0
355,14
356,3
357,2
358,2
359,2
360,3
361,2
362,5
363,6
364,3
365,3
366,0
367,0
368,4
369,0
370,6
371,0
372,0
373,3
374,4
375,2
376,3
377,0
378,0
379,6
380,3
381,0
382,4
383,5
384,0
385,4
386,4
387,1
388,4
389,4
390,8
391,0
392,6
393,0
394,3
395,8
396,3
397,3
398,0
399,7
400,6
401,3
402,3
403,3
404,3
405,4
406,6
407,7
408,4
409,6
410,2
411,4
412,7
413,3
414,0
415,0
416,0
417,0
418,4
419,0
420,2
421,0
422,0
423,3
424,3
425,7
426,0
427,3
428,2
429,4
430,7
431,4
432,2
433,1
434,7
435,1
436,5
437,4
438,2
439,3
440,5
441,2
442,0
443,0
444,0
445,0
446,0
447,0
448,7
449,2
450,0
451,0
452,0
850,0
453,4
454,4
455,3
456,3
457,0
458,0
459,4
460,3
461,0
462,4
463,5
464,0
465,2
466,14
467,0
468,8
469,10
470,0
471,9
472,0
473,0
474,0
475,2
476,3
477,4
478,4
479,3
480,3
481,6
482,4
483,3
484,3
485,0
486,1
487,0
488,0
489,6
490,0
491,0
492,0
493,9
494,4
495,0
496,2
497,9
498,2
499,11
500,7
501,3
502,1
503,0
504,0
505,2
506,2
507,2
508,0
509,6
510,3
511,2
512,3
513,8
514,7
515,9
516,7
517,6
518,8
519,6
520,10
521,8
522,8
523,6
524,18
525,7
526,6
527,5
528,7
529,6
530,24
531,12
532,6
533,7
534,14
535,22
536,10
537,7
538,10
539,16
540,0
541,2
542,4
543,5
544,8
545,10
546,0
547,3
548,13
549,5
550,0
551,2
552,0
553,0
554,2
555,4
556,4
557,15
558,5
559,4
560,3
561,0
562,3
563,6
564,4
565,0
566,3
567,3
568,0
569,12
570,0
571,0
572,7
573,4
574,0
575,0
576,0
577,2
578,3
579,2
580,4
581,2
582,0
583,5
584,0
585,0
586,2
587,0
588,0
589,3
590,2
591,2
592,6
593,5
594,4
595,8
596,4
597,7
598,0
599,0
600,0
601,0
602,14
603,15
604,0
605,0
606,3
607,4
608,2
609,3
610,0
611,2
612,4
613,6
614,0
615,3
616,0
617,7
618,0
619,9
620,4
621,0
622,4
623,3
624,3
625,2
626,3
627,5
628,4
629,6
630,8
631,0
632,3
633,2
634,0
635,0
636,0
637,0
638,4
639,0
640,4
641,3
642,2
643,2
644,4
645,0
646,0
647,1
648,2
649,0
650,3
651,3
652,0
653,7
654,8
655,3
656,4
657,4
658,6
659,6
660,5
661,2
662,7
663,4
664,4
665,6
666,0
667,4
668,0
669,4
670,1
671,0
672,6
673,2
674,9
675,12
676,19
677,5
678,0
679,12
680,4
681,0
682,11
683,14
684,0
685,0
686,3
687,3
688,10
689,8
690,6
691,2
692,4
693,5
694,0
695,5
696,8
697,2
698,0
699,4
700,6
701,8
702,6
703,6
704,5
705,10
706,0
707,0
708,4
709,14
710,7
711,0
712,0
713,0
714,0
715,0
716,0
717,4
718,0
719,9
720,4
721,4
722,0
723,7
724,4
725,0
726,5
727,12
728,6
729,5
730,11
731,8
732,13
733,0
734,2
735,2
736,9
737,14
738,4
739,0
740,6
741,4
742,8
743,5
744,4
745,12
746,4
747,0
748,4
749,0
750,0
751,7
752,9
753,11
754,0
755,0
756,0
757,0
758,0
759,4
760,0
761,0
762,2
763,4
764,8
765,0
766,4
767,7
768,2
769,0
770,2
771,10
772,6
773,4
774,4
775,0
776,0
777,0
778,9
779,0
780,7
781,0
782,0
783,0
784,4
785,4
786,3
787,2
788,10
789,0
790,0
791,0
792,0
793,1
794,5
795,11
796,22
797,12
798,0
799,8
800,7
801,6
802,2
803,0
804,17
805,0
806,6
807,8
808,10
810,9
811,11
812,14
813,9
814,9
815,8
816,15
817,6
818,9
819,13
820,16
821,11
822,5
823,15
824,14
825,10
826,8
827,0
828,11
829,14
830,4
831,11
832,7
833,14
834,15
835,9
836,12
837,14
838,10
839,8
840,10
841,12
842,9
843,9
844,5
845,13
846,7
847,13
848,8
849,14
850,14
