constructorId,averageFinish
1,4
2,7
3,5
4,5
5,9
6,3
7,7
8,9
9,5
10,8
11,6
12,9
13,8
14,10
15,7
16,5
17,5
18,5
19,5
20,5
21,4
22,4
23,4
24,3
25,4
26,3
27,4
28,4
29,4
30,1
31,5
32,3
33,4
34,3
35,4
36,1
37,4
38,21
39,2
40,2
41,3
42,1
43,21
44,1
45,2
46,1
47,21
48,2
49,2
50,2
51,5
52,4
53,2
54,3
55,4
56,4
57,3
58,4
59,3
60,21
61,21
62,21
63,5
64,4
65,5
66,3
67,5
68,5
69,21
70,3
71,21
72,7
73,4
74,21
75,6
76,8
77,4
78,21
79,4
80,4
81,1
82,4
83,21
84,21
85,21
86,21
87,5
88,21
89,3
90,21
91,21
92,21
93,21
94,4
95,6
96,21
97,2
98,4
99,1
100,16
101,2
102,21
103,21
104,11
105,3
106,1
107,7
108,9
109,4
110,6
111,7
112,12
113,6
114,6
115,9
116,23
117,4
118,2
119,8
120,4
121,21
122,21
123,21
124,21
125,3
126,4
127,4
128,3
129,9
130,21
131,4
132,1
133,4
134,2
135,21
136,8
137,21
138,2
139,21
140,21
141,2
142,21
143,21
144,4
145,7
146,21
147,3
148,6
149,10
150,2
151,3
152,21
153,21
154,4
155,21
156,6
157,16
158,22
159,23
160,24
161,21
162,21
163,21
164,13
165,21
167,3
166,12
168,21
169,8
170,3
171,5
172,3
173,21
174,21
175,21
176,3
177,21
178,21
179,21
180,2
181,5
182,3
183,3
184,21
185,6
186,21
187,3
188,3
189,1
190,1
191,2
192,6
193,21
194,2
195,2
196,3
197,21
198,2
199,5
200,2
201,3
202,3
203,21
204,3
205,11
206,15
207,13
208,6
209,14
210,10
211,8
212,8
213,8
